blink_rate,eye_contact_percentage,head_movement_frequency,emotion_stability,emotion_confidence
20,53,17,0.626,0.609
17,68,19,0.666,0.728
21,69,23,0.862,0.801
27,62,23,0.842,0.806
16,72,3,0.747,0.746
16,81,7,0.768,0.875
27,100,19,0.942,0.672
22,77,19,0.661,0.783
15,78,19,0.832,0.814
21,73,45,0.72,0.862
15,46,19,0.717,0.885
15,74,24,0.915,0.665
19,75,22,0.874,0.616
6,100,20,0.872,0.953
7,72,12,0.946,0.84
14,79,21,0.753,0.71
11,74,8,0.852,0.986
19,57,13,0.703,0.814
12,92,11,0.799,0.942
9,86,15,0.73,0.808
26,86,33,0.765,1.0
16,61,0,0.839,1.0
18,96,20,0.627,0.77
9,53,2,1.0,0.917
14,83,11,0.599,0.877
18,100,23,0.568,0.964
11,60,15,0.924,0.684
20,66,6,0.869,0.882
14,76,9,0.844,0.927
16,67,20,0.844,0.589
14,51,9,0.748,0.658
29,76,16,0.615,0.555
17,59,15,0.761,0.768
11,82,9,0.648,0.886
22,61,32,0.896,0.98
10,98,20,0.728,0.809
19,63,0,0.626,0.995
6,70,16,0.702,0.634
10,87,9,0.812,0.596
19,56,21,0.665,0.793
22,78,8,0.627,0.846
19,94,14,0.787,0.796
17,50,19,0.787,0.552
16,77,21,0.674,0.789
9,78,5,0.679,0.643
13,86,12,0.785,0.88
15,56,11,0.533,0.844
24,55,9,0.539,0.687
20,82,29,0.642,0.738
7,79,18,0.718,0.673
19,78,4,0.797,0.792
15,80,22,0.971,0.915
13,64,31,0.879,0.682
21,78,23,0.726,0.86
24,79,2,0.747,0.736
23,64,11,0.6,0.705
12,100,25,0.747,0.787
16,82,9,0.707,0.676
19,57,18,0.798,0.734
23,84,21,0.626,0.656
15,60,7,0.828,1.0
16,86,14,0.98,0.804
11,92,0,0.734,0.716
10,62,6,0.81,0.826
22,89,12,0.854,0.787
26,81,5,0.69,0.773
17,87,28,0.784,0.874
24,100,3,0.752,0.891
20,71,11,0.765,0.736
14,63,16,0.634,0.731
20,61,26,0.754,0.767
27,62,3,0.825,0.524
17,73,24,0.968,0.618
27,80,15,0.894,0.964
5,79,7,1.0,0.997
22,87,18,0.635,0.77
18,75,16,0.881,0.869
16,96,10,0.778,0.837
18,71,15,1.0,1.0
6,100,11,0.629,0.934
16,84,15,0.624,0.785
20,62,20,0.66,0.685
26,58,27,0.431,0.607
14,82,5,0.671,0.824
13,71,32,0.636,0.709
14,85,0,0.773,0.629
23,82,13,0.801,0.722
19,73,19,1.0,0.67
14,62,17,0.893,1.0
21,52,10,0.663,0.906
18,68,13,0.615,0.799
23,87,11,0.824,0.978
13,78,10,0.552,0.809
16,56,21,1.0,0.697
15,77,17,0.927,0.983
9,80,9,0.68,0.865
19,61,22,0.493,0.676
19,77,17,0.953,0.777
18,75,21,0.733,0.695
16,57,20,0.936,0.634
